time,input_base_ax,input_base_ax_g,input_base_vx,base_vx,base_ax,base_ax_g,base_xdisp,top_vx,top_ax,top_ax_g,top_xdisp,stress_point_vx,stress_point_ax,stress_point_ax_g,stress_point_xdisp,stress_point_strain,stress_point_shear_stress
0.29,-0.0225059422077,-0.00229496741575,-0.0014041320702,-0.00140855687763,-0.0227777311806,-0.00232268217797,-4.59098934728e-05,0,0,0,0,0,0,0,0,0,0
0.3,-0.0205552533794,-0.00209605251328,-0.00162049571937,-0.00162444264298,-0.021588576535,-0.00220142215079,-6.10748910758e-05,0,0,0,0,0,0,0,0,0,0
0.31,-0.0167908700882,-0.00171219224589,-0.00180843094128,-0.00181152634149,-0.0187083698511,-0.00190772280555,-7.82547359981e-05,0,0,0,0,0,0,0,0,0,0
0.32,-0.011013432398,-0.00112305755767,-0.00194875735759,-0.00195059176487,-0.0139065423384,-0.00141807266889,-9.70653265299e-05,0,0,0,0,0,0,0,0,0,0
0.33,-0.00311055044209,-0.000317187871709,-0.00202072051681,-0.00202086722687,-0.00702754620007,-0.000716610279767,-0.000116922621489,0,0,0,0,0,0,0,0,0,0
0.34,0.00691977679241,0.000705620858541,-0.00200298020175,-0.00200101841128,0.00198488155891,0.000202401590646,-0.000137032049679,0,0,0,0,0,0,0,0,0,0
0.35,0.0189490514685,0.00193226550029,-0.00187481749178,-0.00187035922436,0.0130659186917,0.00133235291274,-0.000156388937858,0,0,0,0,0,0,0,0,0,0
0.36,0.0327032363575,0.00333480203306,-0.00161751865899,-0.00161023838243,0.026012084194,0.00265249439859,-0.000173791925892,0,0,0,0,0,0,0,0,0,0
0.37,0.0477544399216,0.00486959766297,-0.00121587682163,-0.00120554233623,0.0404696046194,0.00412675119632,-0.000187870829485,0,0,0,0,0,0,0,0,0,0
0.38,0.0635207635372,0.00647731524396,-0.000659736742756,-0.000646239648274,0.0559302687957,0.00570330018872,-0.000197129739407,0,0,0,0,0,0,0,0,0,0
0.39,0.0792754155336,0.00808384265101,5.45046113342e-05,7.11207632459e-05,0.071736041152,0.00731504042175,-0.000200005333832,0,0,0,0,0,0,0,0,0,0
0.4,0.0941657626822,0.00960223549145,0.000922538074794,0.00094205394443,0.0870933181185,0.00888104685274,-0.000194939460294,0,0,0,0,0,0,0,0,0,0
0.41,0.107242470505,0.0109356885894,0.00193102332617,0.00195302626983,0.10109723254,0.0103090487108,-0.000180464059223,0,0,0,0,0,0,0,0,0,0
0.42,0.117498302609,0.0119814924168,0.00305681008912,0.00308068485068,0.112765858085,0.011498917376,-0.00015529550362,0,0,0,0,0,0,0,0,0,0
0.43,0.123915535026,0.0126358680106,0.00426659124801,0.00429152050571,0.121083565504,0.0123470874869,-0.000118434476838,0,0,0,0,0,0,0,0,0,0
0.44,0.125520327226,0.0127995112731,0.0055170661139,0.00554204216866,0.125052166295,0.0127517721439,-6.92666634665e-05,0,0,0,0,0,0,0,0,0,0
0.45,0.121441812559,0.0123836185199,0.00675567256519,0.00677952098277,0.123747881411,0.0126187720997,-7.65884770928e-06,0,0,0,0,0,0,0,0,0,0
0.46,0.110973163615,0.0113161134144,0.00792192182213,0.00794333727128,0.116381628851,0.0118676233832,6.5955443561e-05,0,0,0,0,0,0,0,0,0,0
