case,phase,peak_mpm,peak_ref,peak_error,nrmse,correlation,phase_difference
main,before,0.052242711186409,0.09962083840819988,-0.04737812722179088,0.3387820960946304,0.4780700310497712,0.0012699999999999483
main,after,0.05227280408143997,0.09962083840819988,-0.04734803432675991,0.3390005596533918,0.47702167588528005,0.0012699999999999483
free_field,before,0.05309899151325226,0.09962083840819988,-0.04652184689494762,0.33154063164891734,0.5087798074563238,0.0011899999999999515
free_field,after,0.05318611115217209,0.09962083840819988,-0.04643472725602779,0.33240859691231356,0.5048468358182597,0.0012099999999999507
