time,wave,bottom_dstress,bottom_impedance_velocity,main_top_vx,main_top_vy,main_top_ax,main_top_tau_xy,left_ff_top_vx,left_ff_top_vy,left_ff_top_ax,left_ff_top_tau_xy,right_ff_top_vx,right_ff_top_vy,right_ff_top_ax,right_ff_top_tau_xy,base_vx,base_vy,base_ax,base_tau_xy
0.0,0.0,0.0,0.0,4.489331712976332e-05,-0.00021460243239831305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.115178569394056e-05,0.0002265551682289822,0.0,0.0
0.0001443373668289806,0.0020547529910857065,0.0020547529910857065,0.00020547529910857067,0.00020538282241073396,-0.0008246276208911885,1.1119054532228514,-0.0042833459293889166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035199761231774495,0.0003178913386672612,2.22288817977372,0.0029761554301237264
0.0002886747336579612,0.008202123924925309,0.008202123924925309,0.000820212392492531,0.0002548216399333088,-0.0009544659962024477,0.3425226509858174,-0.00636164706366029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009167436753786711,-0.00012389296457341622,3.912680932651837,0.0036652895678049597
0.00043301210048694183,0.01839158748626435,0.01839158748626435,0.001839158748626435,0.00011989066115029499,-0.0006189257489115775,-0.9348305414417594,-0.004060300206928081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001699673804183922,-0.00044911473529852473,5.424306581212004,-0.00030781464638091494
0.0005773494673159224,0.03253939635218189,0.03253939635218189,0.0032539396352181896,-0.00022291719360999383,1.0293241265453955e-05,-2.375045785381881,0.0021782910044207786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025382457046938646,-0.00030509712530567187,5.80980461908753,-0.009196357949990967
0.000721686834144903,0.05052926951233977,0.05052926951233977,0.005052926951233977,-0.0006223616891498763,0.0004598257943074034,-2.7674364879689657,0.008491424498408244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003391357119096342,0.0001360710462932692,5.910537466110863,-0.02056098249341238
0.0008660242009738837,0.07221334798399764,0.07221334798399764,0.007221334798399765,-0.0008452024027410782,0.00047503704123679136,-1.5438878960237419,0.010518365199176392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004364641999256898,0.0004067142501924278,6.743124816138301,-0.031489007727632905
0.0010103615678028642,0.09741341006676119,0.09741341006676119,0.009741341006676119,-0.0007426743455513589,0.00032465529733026504,0.7103362035916909,0.006600762894627966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005568319852723099,0.0002778348678223596,8.33933637498313,-0.040521385697211476
0.0011546989346318446,0.12592233614887,0.12592233614887,0.012592233614887,-0.0003229401282632708,0.0004170536996283923,2.908007998964083,-0.0012380668803139406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069773917789728995,-3.414920166308581e-05,9.762350229925932,-0.047691502759766566
0.001299036301460825,0.1575058110257646,0.1575058110257646,0.01575058110257646,0.00031538123333174986,0.0006792830228601366,4.42242626160239,-0.009001890535478509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00843681393934465,-0.00018228073050102355,10.111187369109773,-0.053332656776800325
